Time,19-Mar-21,20-Mar-21,21-Mar-21,22-Mar-21,23-Mar-21,24-Mar-21,25-Mar-21
12:03:00 am,-0.000293935,-0.000290035,-0.000368035,-0.000449935,-0.000282235,-0.000270535,-0.000297835
12:08:00 am,-0.000395335,-0.000305635,-0.000290035,-0.000278335,-0.000270535,-0.000317335,-0.000375835
12:13:00 am,-0.000282235,-0.000371935,-0.000305635,-0.000293935,-0.000368035,-0.000340735,-0.000344635
12:18:00 am,-0.000286135,-0.000371935,-0.000309535,-0.000332935,-0.000332935,-0.000332935,-0.000430435
12:23:00 am,-0.000258835,-0.000364135,-0.000262735,-0.000297835,-0.000352435,-0.000407035,-0.000407035
12:28:00 am,-0.000223735,-0.000309535,-0.000332935,-0.000266635,-0.000317335,-0.000313435,-0.000387535
12:33:00 am,-0.000309535,-0.000290035,-0.000293935,-0.000266635,-0.000258835,-0.000368035,-0.000356335
12:38:00 am,-0.000297835,-0.000286135,-0.000297835,-0.000270535,-0.000317335,-0.000262735,-0.000332935
12:43:00 am,-0.000395335,-0.000286135,-0.000344635,-0.000418735,-0.000317335,-0.000266635,-0.000348535
12:48:00 am,-0.000364135,-0.000262735,-0.000274435,-0.000348535,-0.000340735,-0.000290035,-0.000301735
12:53:00 am,-0.000274435,-0.000254935,-0.000270535,-0.000258835,-0.000325135,-0.000379735,-0.000379735
12:58:00 am,-0.000293935,-0.000321235,-0.000278335,-0.000286135,-0.000348535,-0.000266635,-0.000379735
1:04:00 am,-0.000297835,-0.000336835,-0.000364135,-0.000290035,-0.000251035,-0.000251035,-0.000309535
1:08:00 am,-0.000297835,-0.000290035,-0.000325135,-0.000278335,-0.000344635,-0.000305635,-0.000309535
1:13:00 am,-0.000360235,-0.000258835,-0.000340735,-0.000262735,-0.000251035,-0.000239335,-0.000387535
1:18:00 am,-0.000243235,-0.000356335,-0.000293935,-0.000305635,-0.000348535,-0.000301735,-0.000395335
1:23:00 am,-0.000254935,-0.000262735,-0.000278335,-0.000329035,-0.000301735,-0.000352435,-0.000352435
1:28:00 am,-0.000379735,-0.000305635,-0.000282235,-0.000247135,-0.000301735,-0.000469435,-0.000379735
1:33:00 am,-0.000290035,0.000275465,-0.000258835,-0.000215935,-0.000297835,-0.000297835,-0.000368035
1:38:00 am,-0.000371935,-0.000379735,-0.000270535,0.000220865,-0.000352435,-0.000321235,-0.000340735
1:44:00 am,-0.000266635,-0.000297835,-0.000301735,-0.000332935,-0.000325135,-0.000313435,-0.000383635
1:49:00 am,-0.000340735,-0.000332935,-0.000356335,-0.000274435,-0.000321235,-0.000375835,-0.000391435
1:53:00 am,-0.000262735,-0.000313435,-0.000305635,-0.000270535,-0.000290035,-0.000332935,-0.000344635
1:58:00 am,-0.000270535,-0.000317335,-0.000325135,-0.000305635,-0.000321235,-0.000395335,-0.000410935
2:03:00 am,-0.000290035,-0.000313435,-0.000332935,-0.000286135,-0.000290035,-0.000305635,-0.000313435
2:08:00 am,-0.000239335,-0.000313435,-0.000286135,-0.000227635,-0.000305635,-0.000251035,-0.000340735
2:13:00 am,-0.000395335,-0.000414835,-0.000247135,-0.000387535,-0.000407035,-0.000375835,-0.000368035
2:18:00 am,-0.000329035,-0.000329035,-0.000251035,-0.000274435,-0.000344635,-0.000309535,-0.000387535
2:23:00 am,-0.000266635,-0.000293935,-0.000293935,-0.000321235,-0.000293935,-0.000274435,-0.000282235
2:29:00 am,-0.000309535,-0.000293935,-0.000282235,-0.000309535,-0.000297835,-0.000293935,-0.000278335
2:34:00 am,-0.000282235,-0.000258835,-0.000395335,-0.000340735,-0.000356335,-0.000313435,-0.000286135
2:39:00 am,-0.000325135,-0.000251035,-0.000340735,-0.000313435,-0.000379735,-0.000301735,-0.000270535
2:43:00 am,-0.000383635,-0.000321235,-0.000336835,-0.000231535,-0.000329035,-0.000336835,-0.000317335
2:48:00 am,-0.000286135,-0.000438235,-0.000286135,-0.000340735,-0.000254935,-0.000325135,-0.000352435
2:53:00 am,-0.000270535,-0.000301735,-0.000422635,0.000279365,-0.000309535,-0.000313435,-0.000399235
2:58:00 am,-0.000309535,-0.000297835,-0.000332935,-0.000305635,-0.000317335,-0.000375835,-0.000352435
3:03:00 am,-0.000305635,-0.000317335,-0.000286135,-0.000251035,-0.000348535,-0.000301735,-0.000379735
3:09:00 am,-0.000254935,-0.000301735,-0.000305635,-0.000321235,-0.000360235,-0.000360235,-0.000332935
3:14:00 am,-0.000313435,-0.000336835,-0.000266635,-0.000278335,-0.000325135,-0.000360235,-0.000321235
3:19:00 am,-0.000251035,-0.000266635,-0.000301735,-0.000282235,-0.000336835,-0.000375835,-0.000309535
3:24:00 am,-0.000309535,-0.000208135,-0.000258835,-0.000364135,-0.000348535,-0.000325135,-0.000360235
3:28:00 am,-0.000251035,-0.000336835,-0.000313435,-0.000258835,-0.000297835,-0.000290035,-0.000301735
3:33:00 am,-0.000286135,-0.000317335,-0.000270535,-0.000301735,-0.000313435,-0.000270535,-0.000360235
3:38:00 am,-0.000286135,-0.000266635,-0.000329035,-0.000313435,-0.000336835,-0.000360235,-0.000290035
3:43:00 am,-0.000329035,-0.000278335,-0.000254935,-0.000278335,-0.000239335,-0.000219835,-0.000301735
3:48:00 am,-0.000371935,-0.000278335,-0.000266635,-0.000290035,-0.000321235,-0.000258835,-0.000301735
3:54:00 am,-0.000309535,-0.000293935,-0.000262735,-0.000293935,-0.000387535,-0.000313435,-0.000332935
3:59:00 am,-0.000293935,-0.000293935,-0.000379735,-0.000282235,-0.000247135,-0.000332935,-0.000258835
4:04:00 am,-0.000407035,-0.000239335,-0.000282235,-0.000297835,-0.000329035,-0.000282235,-0.000371935
4:09:00 am,-0.000313435,-0.000410935,-0.000309535,-0.000282235,-0.000325135,-0.000286135,-0.000301735
4:13:00 am,-0.000305635,-0.000332935,-0.000301735,-0.000251035,-0.000309535,-0.000266635,-0.000391435
4:18:00 am,-0.000317335,-0.000293935,-0.000251035,-0.000254935,-0.000251035,-0.000317335,-0.000442135
4:23:00 am,-0.000356335,-0.000290035,-0.000282235,-0.000286135,-0.000270535,-0.000270535,-0.000317335
4:28:00 am,-0.000391435,-0.000356335,-0.000321235,-0.000336835,-0.000387535,-0.000379735,-0.000317335
4:34:00 am,-0.000329035,-0.000305635,-0.000270535,-0.000270535,-0.000344635,-0.000383635,-0.000332935
4:39:00 am,-0.000282235,-0.000317335,-0.000434335,-0.000286135,-0.000313435,-0.000344635,-0.000352435
4:44:00 am,-0.000262735,-0.000266635,-0.000282235,-0.000247135,-0.000282235,-0.000352435,-0.000336835
4:49:00 am,-0.000243235,-0.000309535,-0.000270535,-0.000266635,-0.000266635,-0.000379735,-0.000313435
4:54:00 am,-0.000399235,-0.000325135,-0.000301735,-0.000301735,-0.000266635,-0.000297835,-0.000329035
4:58:00 am,-0.000305635,-0.000325135,-0.000329035,-0.000336835,-0.000297835,-0.000321235,-0.000336835
5:03:00 am,-0.000325135,-0.000317335,-0.000274435,-0.000258835,-0.000251035,-0.000368035,-0.000340735
5:08:00 am,-0.000290035,-0.000356335,-0.000278335,-0.000340735,-0.000340735,-0.000371935,-0.000356335
5:13:00 am,-0.000360235,-0.000254935,-0.000282235,-0.000282235,-0.000301735,-0.000297835,-0.000301735
5:19:00 am,-0.000278335,-0.000368035,-0.000332935,-0.000231535,-0.000293935,-0.000360235,-0.000356335
5:24:00 am,-0.000371935,-0.000352435,-0.000274435,-0.000329035,-0.000336835,-0.000278335,-0.000305635
5:29:00 am,-0.000379735,-0.000336835,-0.000368035,-0.000313435,-0.000290035,-0.000317335,-0.000336835
5:34:00 am,-0.000286135,-0.000325135,-0.000266635,-0.000290035,-0.000317335,-0.000297835,-0.000297835
5:39:00 am,-0.000356335,-0.000290035,-0.000243235,-0.000336835,-0.000297835,-0.000442135,-0.000278335
5:44:00 am,-0.000317335,-0.000313435,-0.000309535,-0.000301735,-0.000297835,-0.000332935,-0.000356335
5:48:00 am,-0.000274435,-0.000239335,-0.000301735,-0.000422635,-0.000251035,-0.000317335,-0.000360235
5:53:00 am,-0.000243235,0.000333965,-0.000282235,0.000259865,-0.000395335,-0.000321235,-0.000313435
5:59:00 am,-0.000274435,-0.000329035,-0.000286135,-0.000270535,-0.000258835,-0.000375835,-0.000352435
6:04:00 am,-0.000332935,-0.000387535,-0.000336835,-0.000254935,-0.000270535,-0.000309535,-0.000293935
6:09:00 am,-0.000293935,-0.000305635,-0.000383635,-0.000325135,-0.000301735,-0.000309535,-0.000293935
6:14:00 am,-0.000391435,-0.000262735,-0.000286135,-0.000262735,-0.000325135,-0.000336835,-0.000309535
6:19:00 am,-0.000317335,-0.000336835,-0.000286135,-0.000274435,-0.000290035,-0.000309535,-0.000356335
6:24:00 am,-0.000282235,-0.000305635,-0.000274435,-0.000251035,-0.000254935,-0.000301735,-0.000422635
6:29:00 am,-0.000282235,-0.000309535,-0.000286135,-0.000278335,-0.000301735,-0.000332935,-0.000414835
6:33:00 am,-0.000290035,-0.000301735,-0.000321235,-0.000329035,-0.000286135,-0.000301735,-0.000403135
6:38:00 am,-0.000317335,-0.000399235,-0.000379735,-0.000286135,-0.000258835,-0.000278335,-0.000336835
6:44:00 am,-0.000251035,-0.000336835,-0.000258835,-0.000570835,-0.000309535,-0.000379735,-0.000305635
6:49:00 am,-0.000305635,-0.000321235,-0.000301735,-0.000297835,-0.000332935,-0.000379735,-0.000262735
6:54:00 am,-0.000383635,-0.000313435,-0.000371935,-0.000348535,-0.000313435,-0.000325135,-0.000336835
6:59:00 am,-0.000336835,-0.000356335,-0.000282235,-0.000247135,-0.000293935,-0.000305635,-0.000387535
7:04:00 am,-0.000309535,-0.000247135,-0.000340735,-0.000360235,-0.000332935,-0.000344635,-0.000305635
7:09:00 am,-0.000282235,-0.000356335,-0.000309535,-0.000301735,-0.000379735,-0.000313435,-0.000379735
7:14:00 am,0.000314465,-0.000321235,-0.000247135,-0.000293935,-0.000286135,-0.000329035,-0.000364135
7:19:00 am,-0.000360235,-0.000313435,-0.000399235,-0.000317335,-0.000301735,-0.000286135,-0.000290035
7:24:00 am,-0.000325135,-0.000329035,-0.000282235,-0.000266635,-0.000364135,-0.000356335,-0.000430435
7:29:00 am,-0.000243235,-0.000266635,-0.000313435,-0.000278335,-0.000262735,-0.000340735,-0.000531835
7:34:00 am,-0.000336835,-0.000262735,-0.000336835,-0.000340735,-0.000407035,-0.000321235,-0.000340735
7:39:00 am,-0.000325135,-0.000329035,-0.000321235,-0.000313435,-0.000317335,-0.000329035,-0.000395335
7:44:00 am,0.000322265,-0.000348535,-0.000329035,-0.000317335,-0.000414835,-0.000336835,-0.000371935
7:49:00 am,-0.000321235,-0.000297835,-0.000325135,-0.000391435,-0.000313435,-0.000364135,-0.000329035
7:54:00 am,-0.000329035,-0.000368035,-0.000278335,-0.000325135,-0.000352435,-0.000356335,-0.000379735
7:59:00 am,-0.000340735,-0.000258835,-0.000325135,-0.000297835,-0.000313435,-0.000313435,-0.000321235
8:04:00 am,-0.000286135,-0.000282235,-0.000290035,-0.000262735,-0.000325135,-0.000352435,-0.000325135
8:09:00 am,-0.000336835,-0.000325135,-0.000356335,-0.000336835,-0.000313435,-0.000344635,-0.000344635
8:14:00 am,-0.000262735,-0.000340735,-0.000297835,-0.000313435,-0.000313435,-0.000371935,-0.000438235
8:19:00 am,-0.000332935,-0.000360235,-0.000309535,-0.000325135,-0.000313435,-0.000356335,-0.000262735
8:24:00 am,-0.000325135,-0.000290035,-0.000274435,-0.000344635,-0.000356335,-0.000348535,-0.000332935
8:29:00 am,-0.000387535,-0.000282235,-0.000266635,-0.000282235,-0.000317335,-0.000325135,-0.000352435
8:34:00 am,-0.000305635,-0.000325135,-0.000254935,-0.000262735,-0.000297835,-0.000274435,-0.000375835
8:39:00 am,-0.000305635,-0.000336835,-0.000336835,-0.000274435,-0.000430435,-0.000305635,-0.000293935
8:44:00 am,-0.000332935,-0.000371935,-0.000282235,-0.000286135,-0.000297835,-0.000383635,-0.000387535
8:49:00 am,-0.000239335,-0.000251035,-0.000313435,-0.000317335,-0.000297835,-0.000313435,-0.000352435
8:54:00 am,-0.000375835,-0.000309535,-0.000309535,-0.000293935,-0.000290035,-0.000375835,-0.000387535
8:59:00 am,-0.000340735,-0.000290035,-0.000305635,-0.000336835,-0.000356335,-0.000332935,-0.000430435
9:04:00 am,-0.000297835,-0.000278335,-0.000348535,0.000263765,0.000318365,-0.000309535,-0.000348535
9:09:00 am,-0.000356335,-0.000274435,-0.000313435,-0.000313435,-0.000266635,-0.000329035,-0.000371935
9:14:00 am,-0.000274435,-0.000356335,-0.000352435,-0.000313435,-0.000286135,-0.000278335,-0.000293935
9:19:00 am,-0.000309535,0.000341765,-0.000399235,-0.000344635,-0.000387535,-0.000313435,-0.000379735
9:24:00 am,-0.000321235,-0.000286135,-0.000309535,-0.000336835,-0.000391435,-0.000356335,-0.000348535
9:29:00 am,-0.000313435,-0.000325135,-0.000301735,-0.000309535,-0.000321235,-0.000344635,-0.000325135
9:34:00 am,-0.000266635,-0.000317335,-0.000254935,-0.000360235,-0.000305635,-0.000290035,0.000298865
9:39:00 am,-0.000266635,-0.000332935,-0.000317335,-0.000286135,-0.000297835,-0.000301735,-0.000399235
9:44:00 am,-0.000340735,-0.000286135,-0.000251035,-0.000266635,-0.000278335,-0.000309535,-0.000309535
9:49:00 am,-0.000301735,-0.000274435,-0.000270535,-0.000286135,-0.000254935,-0.000418735,-0.000309535
9:54:00 am,-0.000254935,-0.000368035,-0.000274435,-0.000254935,-0.000329035,-0.000340735,-0.000332935
9:59:00 am,-0.000348535,-0.000278335,-0.000336835,-0.000293935,-0.000344635,-0.000290035,-0.000329035
10:04:00 am,-0.000290035,-0.000239335,-0.000290035,0.000298865,-0.000317335,-0.000336835,-0.000383635
10:09:00 am,-0.000387535,-0.000368035,-0.000274435,-0.000274435,-0.000414835,-0.000364135,-0.000461635
10:14:00 am,-0.000278335,-0.000340735,-0.000247135,-0.000340735,-0.000274435,-0.000301735,-0.000309535
10:19:00 am,-0.000313435,-0.000274435,-0.000251035,-0.000336835,-0.000251035,-0.000360235,-0.000278335
10:24:00 am,-0.000329035,-0.000282235,-0.000313435,-0.000352435,-0.000258835,-0.000290035,-0.000329035
10:29:00 am,-0.000325135,-0.000286135,-0.000309535,-0.000352435,-0.000297835,-0.000410935,-0.000344635
10:34:00 am,-0.000286135,-0.000301735,-0.000290035,-0.000286135,-0.000371935,-0.000395335,-0.000313435
10:39:00 am,-0.000336835,-0.000332935,-0.000379735,-0.000270535,-0.000344635,-0.000305635,-0.000293935
10:44:00 am,-0.000391435,-0.000278335,-0.000290035,-0.000414835,-0.000293935,-0.000329035,-0.000274435
10:49:00 am,-0.000356335,-0.000282235,-0.000368035,-0.000305635,-0.000364135,-0.000317335,-0.000329035
10:54:00 am,-0.000344635,-0.000290035,-0.000282235,-0.000356335,-0.000317335,-0.000368035,-0.000387535
10:59:00 am,-0.000286135,-0.000301735,-0.000258835,-0.000364135,-0.000469435,-0.000301735,-0.000387535
11:04:00 am,0.000318365,-0.000387535,-0.000282235,-0.000270535,-0.000387535,-0.000293935,-0.000332935
