Time,19-Mar-21,20-Mar-21,21-Mar-21,22-Mar-21,23-Mar-21,24-Mar-21,25-Mar-21
12:03:00 am,0.0003831,0.0003558,0.0002934,0.0003519,0.0004689,0.0003012,0.0003402
12:08:00 am,0.0002895,0.0003168,0.0003168,0.0003324,0.0003324,0.0003246,0.0004143
12:13:00 am,0.0002271,0.0002973,0.0002973,0.000348,0.0003129,0.000348,0.0005274
12:18:00 am,0.0003051,0.0003012,0.000348,0.0003285,0.000309,0.0003285,0.0003987
12:23:00 am,0.0002271,0.0003129,0.0003402,0.0003129,0.0004689,0.0003714,0.0003792
12:28:00 am,0.0002973,0.0003129,0.0002739,0.0003129,0.0003441,0.0003558,0.0003597
12:33:00 am,0.0003051,0.0003012,0.0003792,0.0003441,0.0003285,0.0003246,0.0004767
12:38:00 am,0.0002544,0.0002388,0.0003519,0.0003363,0.0003792,0.0003285,0.000387
12:43:00 am,0.0003909,0.0003441,0.0002661,0.0003285,0.0003324,0.0003051,0.0003909
12:48:00 am,0.000309,0.0003129,0.0002778,0.0003285,0.0003558,0.0003246,0.0003675
12:53:00 am,0.0003168,0.0003285,0.0003168,0.000426,0.0003402,0.0004455,0.000426
12:58:00 am,0.0002856,0.0003012,0.0002856,0.0003285,0.0003753,0.0003363,0.0003675
1:04:00 am,0.0003051,0.0003168,0.0003324,0.0002895,0.0004611,0.0004065,0.0003558
1:08:00 am,0.0003324,0.00027,0.0003441,0.0002973,0.0003441,0.0003948,0.0004221
1:13:00 am,0.0003168,0.0002934,0.0003363,0.0003831,0.0004416,0.0004143,0.000426
1:18:00 am,0.0002778,0.0002622,0.0002934,0.0003675,0.0003909,0.0003402,0.0004182
1:23:00 am,0.0002739,0.0003012,0.0003246,0.0004065,0.0004026,0.0003519,0.0003519
1:28:00 am,0.0003636,0.0003636,0.0003402,0.0003792,0.0003246,0.0003675,0.0004221
1:33:00 am,0.0002973,0.0004455,0.00027,0.0003246,0.0003558,0.0003714,0.000387
1:38:00 am,0.0003168,0.0003792,0.0003129,0.0003051,0.0003363,0.0003363,0.0003285
